common_name,scientific_name,start_s,end_s,confidence,label,file_index,filename,file_stem,recording_date,recording_start_time,absolute_timestamp,weather_temp_c,weather_conditions,weather_summary,readable_filename,recording_id,datetime,hour
Richard's Pipit,Anthus richardi,30885.0,30888.0,0.9399092197418212,Anthus richardi_Richard's Pipit,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 08:34:45,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 08:34:45,8.0
Ring-necked Pheasant,Phasianus colchicus,34863.0,34866.0,0.2853590548038482,Phasianus colchicus_Ring-necked Pheasant,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 09:41:03,10-11,"Passing clouds, broken clouds","Partly cloudy, unsettled",2025-10-15_Night_PartlyCloudy_10-11C,245AAA0563ED3DA7_20251015_000000.WAV,2025-10-15 09:41:03,9.0
River Warbler,Locustella fluviatilis,26664.0,26667.0,0.2537513673305511,Locustella fluviatilis_River Warbler,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 07:24:24,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 07:24:24,7.0
Rook,Corvus frugilegus,33294.0,33297.0,0.8196960091590881,Corvus frugilegus_Rook,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 09:14:54,10-11,"Passing clouds, broken clouds","Partly cloudy, unsettled",2025-10-15_Night_PartlyCloudy_10-11C,245AAA0563ED3DA7_20251015_000000.WAV,2025-10-15 09:14:54,9.0
Spotted Crake,Porzana porzana,23709.0,23712.0,0.9412823915481568,Porzana porzana_Spotted Crake,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 06:35:09,10-11,"Passing clouds, broken clouds","Partly cloudy, unsettled",2025-10-15_Night_PartlyCloudy_10-11C,245AAA0563ED3DA7_20251015_000000.WAV,2025-10-15 06:35:09,6.0
Tawny Owl,Strix aluco,39306.0,39309.0,0.6285027861595154,Strix aluco_Tawny Owl,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 10:55:06,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 10:55:06,10.0
Tree Pipit,Anthus trivialis,26316.0,26319.0,0.6749482154846191,Anthus trivialis_Tree Pipit,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 07:18:36,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 07:18:36,7.0
Western Yellow Wagtail,Motacilla flava,35949.0,35952.0,0.5927988886833191,Motacilla flava_Western Yellow Wagtail,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 09:59:09,10-11,"Passing clouds, broken clouds","Partly cloudy, unsettled",2025-10-15_Night_PartlyCloudy_10-11C,245AAA0563ED3DA7_20251015_000000.WAV,2025-10-15 09:59:09,9.0
White Wagtail,Motacilla alba,30420.0,30423.0,0.5791553854942322,Motacilla alba_White Wagtail,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 08:27:00,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 08:27:00,8.0
Yellowhammer,Emberiza citrinella,31626.0,31629.0,0.832180380821228,Emberiza citrinella_Yellowhammer,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 08:47:06,11,"Light rain, passing clouds",Light rain overnight,2025-10-14_Night_LightRain_11C,245AAA0563ED3DA7_20251014_000000.WAV,2025-10-14 08:47:06,8.0
